Fórmula del compuesto,A,B,C,D,E,F,G,H,T_min,T_max
CCl4,103.1134,4.188644,-1.126475,0.095677,-1.919624,-133.3557,422.4334,-95.98096,298,6000
CHCl3,44.24706,114.6734,-88.81837,25.89992,-0.522808,-122.4891,315.7451,-103.177,298,1200
CH2Cl2,19.17351,136.8444,-95.12993,26.03105,-0.119405,-106.9338,256.0144,-95.52114,298,1200
CH4,-0.703029,108.4773,-42.52157,5.862788,0.678565,-76.84376,158.7163,-74.8731,298,1300
CS2,35.85391,25.49121,-40.83743,12.00155,-0.224831,103.503,266.1597,116.9432,298,1000
C2H4,-6.38788,184.4019,-112.9718,28.49593,0.31554,48.17332,167.1568,52.46694,298,1200
O2,31.32234,-20.23531,57.86644,-36.50624,-0.007374,-8.903471,246.7945,0,298,700
N2,28.98641,1.853978,-9.647459,16.63537,0.000117,-8.671914,226.4168,0,298,500
C2H2,40.68697,40.73279,-16.1784,3.669741,-0.658411,210.7067,235.0052,226.7314,298,1100
NO,23.83491,12.58878,-1.139011,-1.497459,0.214194,83.35783,237.1219,90.29114,298,1200
CO,25.59759,6.09613,4.054956,-2.671301,0.131021,-118.0089,227.3665,-110.5271,298,1300
H2,33.066178,-11.363417,11.432816,-2.772874,-0.158558,-9.980797,172.707974,0,298,1000
CH3Cl,3.52469,136.9277,-82.14196,20.22797,0.278032,-89.19995,202.8391,-83.68,298,1200
CF4,15.96778,210.3318,-189.4657,62.20227,-0.217317,-946.4877,224.6766,-933.1994,298,1000
CO2,24.99735,55.18696,-33.69137,7.948387,-0.136638,-403.6075,228.2431,-393.5224,298,1200
H2O,-203.606,1523.29,-3196.413,2474.455,3.855326,-256.5478,-488.7163,-285.8304,298,500
SO2,21.43049,74.35094,-57.75217,16.35534,0.086731,-305.7688,254.8872,-296.8422,298,1200
I2,-195.7635,918.8984,-1079.242,534.3219,5.156403,43.29938,-322.478,0,298,386.75
H2S,26.88412,18.67809,3.434203,-3.378702,0.135882,-28.91211,233.3747,-20.50202,298,1400
NH3,19.99563,49.77119,-15.37599,1.921168,0.189174,-53.30667,203.8591,-45.89806,298,1400
N2O,27.67988,51.14898,-30.64454,6.847911,-0.157906,71.24934,238.6164,82.04824,298,1400
HCl,32.12392,-13.45805,19.86852,-6.853936,-0.049672,-101.6206,228.6866,-92.31201,298,1200
HCN,32.69373,22.59205,-4.369142,-0.407697,-0.282399,123.4811,233.2597,135.1432,298,1200
CHF3,6.463694,185.4332,-140.887,39.84921,0.064514,-705.845,218.4579,-697.0544,298,1200
Cl2,33.0506,12.2294,-12.0651,4.38533,-0.159494,-10.8348,259.029,0,298,1000
CBr4,105.1468,2.487623,-0.670708,0.057056,-1.342609,14.25271,476.976,50.208,298,6000
CH2F2,-6.098682,179.22,-122.3682,32.30207,0.491361,-454.1439,193.7979,-450.6586,298,1200
TiO,41.78808,18.24542,-0.372713,0.065211,-0.644729,-558.0996,76.27892,-542.6648,298,2023
HF,30.11693,-3.246612,2.868116,0.457914,-0.024861,-281.4912,210.9226,-272.5462,298,1000
HBr,31.71409,-13.69992,23.35567,-9.008529,-0.028758,-45.57464,240.0428,-36.44306,298,1100
CH3F,-8.802593,154.8561,-91.15011,21.55007,0.0680703,-235.5169,173.7096,-234.3044,298,1200
Br2,38.52723,-1.976835,1.526107,-0.198398,-0.185815,18.8762,291.4863,30.91001,298,3400
CCl2O,36.64799,115.1274,-128.6208,57.6869,-0.299915,-236.1052,297.341,-220.0784,298,600
HNO3,19.63229,153.9599,-115.8378,32.87955,-0.249114,-146.8818,247.7049,-134.306,298,1200
NO2,16.10857,75.89525,-54.3874,14.30777,0.239423,26.17464,240.5386,33.09502,298,1200
S,21.21978,3.865858,22.27461,-10.31908,-0.122518,-7.085604,54.99575,0,298,388
B2H5,-12.42167,267.6112,-152.2612,33.15879,0.300489,35.09886,146.5115,41.00303,298,1200
N2H4,48.1775,170.486,-100.834,45.1135,0.674292,31.7431,136.871,50.6264,298,800
BaO,47.4273,13.1362,-3.796501,0.725938,-0.336757,-563.931,123.792,-548.104,298,2286
ClO2,24.12473,81.01898,-73.80702,24.54401,-0.033548,94.29481,265.1367,104.6,298,1000
F2,31.4451,8.413831,-2.77885,0.218104,-0.211175,-10.4326,237.277,0,298,6000
H2O2,34.25667,55.18445,-35.15443,9.08744,-0.422157,-149.9098,257.0604,-136.1064,298,1500
PH3,11.90009,84.46701,-38.04294,5.695428,0.289233,16.87884,202.7286,5.46989,298,1200
O3,21.66157,79.86001,-66.02603,19.58363,-0.079251,132.9407,243.6406,142.674,298,1200
KCl,35.41597,70.03472,-91.38233,52.52426,0.15346,-449.1357,108.9982,-436.6841,298,900
SrO,48.55114,8.748034,-0.893966,0.115057,-0.507804,-608.6339,108.7489,-592.036,298,2938
NaCl,50.72389,6.672267,-2.517167,10.15934,-0.200675,-427.2115,130.3973,-411.1203,298,1073
Fe,18.42868,24.64301,-8.91372,9.664706,-0.012643,-6.573022,42.51488,0,298,700
BeO,3.358974,131.5922,-140.4937,56.20953,-0.536669,-615.8764,-18.67884,-608.3536,298,800
HI,26.0454,4.689678,4.911765,-2.654397,0.121419,18.75499,237.2018,26.35903,298,1400
PbO,51.65148,10.49858,-2.693856,1.758934,-0.787718,-237.9006,121.3385,-219.4094,298,1159
Ca,19.77517,10.10813,14.50338,-5.529491,0.178031,-5.862997,62.91606,0,298,1100
SO,22.56414,29.93305,-22.87987,6.408968,47560,-2.702237,241.5511,5.006993,298,1400
LiCl,43.74372,20.37056,0.30643,-0.094178,-0.160419,-422.7514,105.2586,-408.2664,298,883
Ti,22.61942,18.98795,-18.18735,7.080792,-0.143457,-7.92279,52.40962,0,298,700
SiCl4,105.5862,2.123083,-0.573518,0.048847,-1.449627,-699.1757,449.872,-662.7456,298,6000
LiF,41.75837,18.7111,0.693674,-0.992621,-0.487055,-631.8342,77.92072,-616.9308,298,1121
AlO,35.53572,-3.947982,7.68467,-1.626841,-0.0371449,55.19826,260.0975,66.944,298,2000
KBr,39.22249,63.36459,-94.72785,60.44918,0.091212,-407.2932,128.6848,-393.4985,298,900
PCl3,81.94782,1.019637,-0.276076,0.023549,-0.964224,-316.405,405.0924,-288.6964,298,6000
PO,24.28561,18.86465,-1.520015,-7.365932,0.194004,-30.94863,247.7652,-23.54801,298,600
SO3,24.02503,119.4607,-94.38686,26.96237,-0.117517,-407.8526,253.5186,-395.7654,298,1200
